locationid,latitude,longitude,stationname,parentcity,sourceurl
1051,39.001055,106.377233,"Dawukou huanghe East Street, Shizuishan",%E7%9F%B3%E5%98%B4%E5%B1%B1,http://aqicn.org/?city=China/%E7%9F%B3%E5%98%B4%E5%B1%B1/%E5%A4%A7%E6%AD%A6%E5%8F%A3%E9%BB%84%E6%B2%B3%E4%B8%9C%E8%A1%97
1052,39.22093,107.338641,"Huinong South Street, Shizuishan",%E7%9F%B3%E5%98%B4%E5%B1%B1,http://aqicn.org/?city=China/%E7%9F%B3%E5%98%B4%E5%B1%B1/%E6%83%A0%E5%86%9C%E5%8D%97%E5%A4%A7%E8%A1%97
1053,39.240108,106.785909,"Hongguozi Town Huixin Street, Shizuishan",%E7%9F%B3%E5%98%B4%E5%B1%B1,http://aqicn.org/?city=China/%E7%9F%B3%E5%98%B4%E5%B1%B1/%E7%BA%A2%E6%9E%9C%E5%AD%90%E9%95%87%E6%83%A0%E6%96%B0%E8%A1%97
1054,38.985188,106.387758,Shizuishan,shizuishan,http://aqicn.org/city/shizuishan/
1055,43.831501,87.58295,"Monitoring station, Wulumuqi",china,http://aqicn.org/city/china/wulumuqi/jiancezhan/
1056,43.76923,87.607438,"Toll office, Wulumuqi",china,http://aqicn.org/city/china/wulumuqi/shoufeisuo/
1057,43.948277,87.478589,"Xinjiang Academy of Agricultural Farms, Wulumuqi",china,http://aqicn.org/city/china/wulumuqi/xinjiangnongkeyuannongchang/
1058,43.872315,87.555404,"Railway Bureau, Wulumuqi",china,http://aqicn.org/city/china/wulumuqi/tieluju/
1059,43.832235,87.646092,"No.31 middle school, Wulumuqi",china,http://aqicn.org/city/china/wulumuqi/sanshiyizhongxue/
1060,43.874429,87.420418,"No.74 middle school, Wulumuqi",china,http://aqicn.org/city/china/wulumuqi/qishisizhongxue/
1061,43.963156,87.647302,"Midong district EPA bureau, Wulumuqi",china,http://aqicn.org/city/china/wulumuqi/midongquhuanbaoju/
1062,43.82685,87.619673,Wulumuqi,wulumuqi,http://aqicn.org/city/wulumuqi/
